codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n
135731,ESTACION CELESTE S.A.C.,20565431987,"AV. X-5 MZ. G-1 LOTES 5, 6 Y 7 (ANTIGUA PANAMERICANA SUR)",LURIN,59
136355,CENTRAL PARIACHI S.A.C.,20557618920,AV. NICOLAS AYLLON (ANTES CARRETERA CENTRAL) PREDIO SEMI RUSTICO PARIACHI PARCELA 10906,ATE,13
137688,REPSOL COMERCIAL S.A.C.,20503840121,AV. BAUZATE Y MEZA N° 1050,LA VICTORIA,46
138486,ENERGIGAS S.A.C.,20506151547,AV. VICTOR RAUL HAYA DE LA TORRE S/N (KM. 5.6 CARRETERA CENTRAL) ESQUINA CON JR. SANTA MARIA,ATE,8
13930,COESTI S.A.,20127765279,"AV. ANGAMOS ESTE N° 1159 (ANTES: AV. PRIMAVERA N° 1159), URB. VALLE HERMOSO DE MONTERRICO",SANTIAGO DE SURCO,1019
14622,REPSOL COMERCIAL S.A.C,20503840121,AV. EVITAMIENTO 1904 MZ B LOTES 1-6 URB. LOS PARQUES DE MONTERRICO,ATE,1206
14628,SAN ANTONIO INVERSIONES GENERALES S.R.L.,20552146973,AV. TUPAC AMARU KM. 22. CARRETERA A CANTA - ASOCIACION LOS ROSALES DE CHILLON,CARABAYLLO,150
14632,GRIFO SAN IGNACIO S.A.C.,20100075858,"CALLE CONSTELACIÓN AUSTRAL, MZ. D1, LOTE 10, URBANIZACIÓN PARCELACIÓN LA CAMPIÑA",CHORRILLOS,581
14633,REPSOL COMERCIAL S.A.C.,20503840121,"ESQUINA AV. GUARDIA CIVIL N° 702 Y AV. EL SOL, URB. LA CAMPIÑA",CHORRILLOS,1844
14637,COESTI S.A.,20127765279,"ESQUINA DE LA AV. UNIVERSITARIA Y MEXICO CALLE L MZ. D LOTE 34,35,36 URB. SANTA ISOLINA 2DA ETAPA",COMAS,318
14637,INVERSIONES PICORP S.A.C.,20428254687,"ESQUINA DE LA AV. UNIVERSITARIA Y MEXICO CALLE L MZ. D LOTE 34,35,36 URB. SANTA ISOLINA 2DA ETAPA",COMAS,313
14643,EMPRESA INDUSTRIAL COMERCIAL Y DE SERVICIOS MATILDE LEON S.A.,20267061069,AV. TUPAC AMARU MZ. G LT. 1 Y 2 COOP. VIVIENDA SANTA LIGIA,INDEPENDENCIA,175
14645,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. CUBA N° 116 - 120  ESQ. CON AV. ARENALES N° 990,JESUS MARIA,632
14646,COESTI S.A.,20127765279,AV. FAUSTINO SANCHEZ CARRION Nº 471 ESQUINA CON JR. ESTADOS UNIDOS,JESUS MARIA,1175
14648,COESTI S.A.,20127765279,"AV. MELGAREJO, ESQ. CON LA AV. UNIVERSIDAD",LA MOLINA,769
14665,INVERSIONES MAVU S.A.C.,20536616960,AV. VENEZUELA N° 3300,LIMA,583
