codificador,codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n,bandera,glp,gnv,llanteria,islas_comb_liq,mecanico,aceite,lavado,tienda,cajero,en_avenida_principal,coordenadas,revisar
DUC,7128,ATILIO  FERRUCCI PENDOLA,10093996696,ESQ. GRAU Y EL SOL S/N.,BARRANCO,1125,Repsol,0,0,0,8,0,0,0,1,0,1,"-12.139568, -77.022104",
,34178,SERVICIOS MULTIPLES SANTA CECILIA S.A.C.,20517710955,"AUTOPISTA RAMIRO PRIALE KM 8.5, MZ. A, SUBLOTE 54-B, CENTRO POBLADO MENOR DE SANTA MARIA DE HUACHIPA",LURIGANCHO,2262,,,,,,,,,,,,,
MC,16644,GRIFOS ESPINOZA S.A.,20100111838,"AV. AREQUIPA  Nº 908, ESQUINA CON JR. EMILIO FERNANDEZ - URB. SANTA BEATRIZ",LIMA,2256,Repsol,2,6,0,4,0,0,0,1,1,si,"-12.073633, -77.036127",
,15664,COESTI S.A.,20127765279,AV. NICOLAS AYLLON N° 1500,CHACLACAYO,2237,,,,,,,,,,,,,
,13930,COESTI S.A.,20127765279,"AV. ANGAMOS ESTE N° 1159 (ANTES: AV. PRIMAVERA N° 1159), URB. VALLE HERMOSO DE MONTERRICO",SANTIAGO DE SURCO,2219,,,,,,,,,,,,,
DUC,6821,SERVICIOS RIGAL S.A.C.,20502105613,AV. PASEO DE LA REPUBLICA N° 4251,SURQUILLO,699,Petroperu,2,0,0,4,0,0,0,0,0,1,"-12.107672, -77.026267",
,17861,SERVICENTRO PIZARRO S.A.C.,20427140467,AV. FRANCISCO PIZARRO 800 CON AV. TARAPACA 101,RIMAC,2192,,,,,,,,,,,,,
DUC,7800,REPSOL COMERCIAL S.A.C.,20503840121,AV PROLONGACION HUAYLAS N° 326,CHORRILLOS,1537,Repsol,0,0,1,4,0,0,0,1,1,1,"-12.194219, -77.002605",
,14742,GRIFOS LA TUNA S.A.C.,20379074996,ESQUINA AV. AYACUCHO CON LA AV. PROLONGACION TOMAS MARSANO,SANTIAGO DE SURCO,2184,,,,,,,,,,,,,
MC,16612,ABA SINGER & CIA. S.A.C.,20100032881,"AV. PETIT THOUARS N° 1148, URB. SANTA. BEATRIZ",LIMA,2159,Independiente,2,8,0,6,0,0,0,0,0,no,"-12.075580, -77.034801",
